movie_title,original_language,popularity,vote_average,vote_count,release_date,production_budget,worldwide_gross,release_year,release_month,genres,studio
10 cloverfield lane,en,17.892,6.9,4629,2016-03-11,5000000,108286422,2016,3,cross-genre,Par.
12 strong,en,13.183,5.6,1312,2018-01-19,35000000,71118378,2018,1,cross-genre,WB
12 years a slave,en,16.493,7.9,6631,2013-10-18,20000000,181025343,2013,10,cross-genre,FoxS
127 hours,en,11.435,7.0,4469,2010-11-05,18000000,60217171,2010,11,cross-genre,FoxS
13 sins,en,10.899,6.3,576,2014-04-18,4000000,47552,2014,4,cross-genre,RTWC
2 guns,en,14.8,6.5,2368,2013-08-02,61000000,132493015,2013,8,cross-genre,Uni.
20 feet from stardom,en,7.866,7.4,127,2013-06-14,1000000,5892466,2013,6,cross-genre,RTWC
21 jump street,en,14.836,6.8,6527,2012-03-16,42000000,202812429,2012,3,cross-genre,Sony
22 jump street,en,11.176,6.9,5167,2014-06-13,50000000,331333876,2014,6,cross-genre,Sony
3 days to kill,en,11.011,6.1,1279,2014-02-21,28000000,38959900,2014,2,cross-genre,Rela.
30 minutes or less,en,11.315,5.6,825,2011-08-12,28000000,40966716,2011,8,cross-genre,Sony
300: rise of an empire,en,23.68,6.0,3870,2014-03-07,110000000,330780051,2014,3,cross-genre,WB
47 ronin,en,25.049,6.0,2080,2013-12-25,175000000,151716815,2013,12,cross-genre,Uni.
5 days of war,en,8.689,5.7,102,2011-08-19,12000000,87793,2011,8,cross-genre,Anch.
50/50,en,12.451,7.1,2111,2011-09-30,8000000,41334735,2011,9,cross-genre,Sum.
a bad moms christmas,en,16.604,6.3,1044,2017-11-01,28000000,127710550,2017,11,cross-genre,STX
a better life,en,5.885,7.1,97,2011-06-24,10000000,1884251,2011,6,cross-genre,Sum.
a dangerous method,en,10.352,6.3,1066,2011-11-23,20000000,14807531,2011,11,cross-genre,SPC
a ghost story,en,11.886,7.0,906,2017-07-07,100000,2769782,2017,7,cross-genre,A24
a good day to die hard,en,15.858,5.2,4437,2013-02-14,92000000,304249198,2013,2,cross-genre,Fox
a haunted house,en,6.909,5.5,871,2013-01-11,2500000,59922558,2013,1,cross-genre,ORF
a haunted house 2,en,6.948,5.5,597,2014-04-18,4000000,21206861,2014,4,cross-genre,ORF
a hologram for the king,en,11.055,5.9,589,2016-04-22,35000000,11846010,2016,4,cross-genre,RAtt.
a little bit of heaven,en,7.87,6.3,333,2012-05-04,12500000,1100287,2012,5,cross-genre,MNE
a million ways to die in the west,en,10.816,5.8,2219,2014-05-30,40000000,86778557,2014,5,cross-genre,Uni.
a monster calls,en,11.128,7.1,1918,2017-01-06,43000000,46414530,2017,1,cross-genre,Focus
a most violent year,en,12.271,6.6,792,2014-12-31,20000000,8846875,2014,12,cross-genre,A24
a most wanted man,en,10.267,6.5,784,2014-07-25,15000000,36068890,2014,7,cross-genre,RAtt.
a quiet place,en,29.154,7.3,5848,2018-04-06,17000000,334522294,2018,4,documentary,Par.
a simple favor,en,21.121,6.6,1756,2018-09-14,20000000,97628717,2018,9,cross-genre,LGF
a street cat named bob,en,7.12,7.5,500,2016-11-18,8000000,17382693,2016,11,cross-genre,Cleopatra
a thousand words,en,8.017,6.1,685,2012-03-09,40000000,20790486,2012,3,cross-genre,P/DW
a walk among the tombstones,en,19.373,6.3,1685,2014-09-19,28000000,62108587,2014,9,cross-genre,Uni.
a walk in the woods,en,6.935,5.9,402,2015-09-02,8000000,37119358,2015,9,cross-genre,BG
a wrinkle in time,en,12.529,5.0,1073,2018-03-09,103000000,133401882,2018,3,cross-genre,BV
abduction,en,17.69,5.8,1791,2011-09-23,35000000,86648359,2011,9,cross-genre,LGF
about time,en,14.133,7.9,3981,2013-11-01,12000000,89309178,2013,11,cross-genre,Uni.
abraham lincoln: vampire hunter,en,12.498,5.6,2009,2012-06-22,67500000,137489730,2012,6,cross-genre,Fox
act of valor,en,12.197,6.3,583,2012-02-24,12000000,82497035,2012,2,cross-genre,Rela.
addicted,en,8.295,5.3,103,2014-10-10,5000000,17499242,2014,10,cross-genre,LGF
admission,en,8.065,5.5,385,2013-03-22,13000000,18733666,2013,3,cross-genre,Focus
adrift,en,0.6,7.0,1,2018-06-01,35000000,57897191,2018,6,drama,STX
after earth,en,14.415,5.1,4154,2013-05-31,130000000,251499665,2013,5,cross-genre,Sony
ain't them bodies saints,en,8.166,6.2,217,2013-08-16,5000000,1075009,2013,8,cross-genre,IFC
albert nobbs,en,6.277,6.3,227,2011-12-21,7500000,8539003,2011,12,cross-genre,RAtt.
alex cross,en,9.962,5.1,424,2012-10-19,35000000,35426759,2012,10,cross-genre,LG/S
"alexander and the terrible, horrible, no good, very bad day",en,6.783,6.2,817,2014-10-10,28000000,101379287,2014,10,cross-genre,BV
alice through the looking glass,en,16.642,6.5,3803,2016-05-27,170000000,276928112,2016,5,cross-genre,BV
alien: covenant,en,24.651,5.9,4971,2017-05-19,97000000,238521247,2017,5,cross-genre,Fox
all eyez on me,en,7.249,6.4,695,2017-06-16,45000000,54876855,2017,6,cross-genre,LG/S
all good things,en,7.871,6.0,493,2010-12-03,20000000,873617,2010,12,cross-genre,Magn.
all is lost,en,9.869,6.6,949,2013-10-18,8500000,10386814,2013,10,cross-genre,RAtt.
all saints,en,4.042,6.1,25,2017-08-25,2000000,5941994,2017,8,drama,Affirm
allied,en,19.611,6.7,2765,2016-11-23,106000000,119266661,2016,11,cross-genre,Par.
almost christmas,en,6.532,5.6,245,2016-11-11,17000000,42493506,2016,11,cross-genre,Uni.
aloha,en,9.685,5.3,1226,2015-05-29,37000000,25387091,2015,5,cross-genre,Sony
alpha,el,0.84,7.0,1,2018-08-17,51000000,99624873,2018,8,crime,Studio 8
alvin and the chipmunks: chipwrecked,en,12.672,5.5,1055,2011-12-16,80000000,349088523,2011,12,cross-genre,Fox
alvin and the chipmunks: the road chip,en,14.973,5.8,852,2015-12-18,90000000,249517956,2015,12,cross-genre,Fox
american assassin,en,15.434,6.3,1596,2017-09-15,63000000,68310140,2017,9,cross-genre,LGF
american honey,en,8.778,6.7,417,2016-09-30,3500000,2611750,2016,9,cross-genre,A24
american hustle,en,12.481,6.8,4443,2013-12-13,40000000,257878294,2013,12,cross-genre,Sony
american made,en,16.748,6.7,2188,2017-09-29,50000000,135569212,2017,9,cross-genre,Uni.
american reunion,en,17.199,6.2,2679,2012-04-06,50000000,236799211,2012,4,comedy,Uni.
american sniper,en,18.473,7.4,7658,2014-12-25,58000000,547326372,2014,12,cross-genre,WB
american ultra,en,9.97,6.0,1756,2015-08-21,28000000,30295028,2015,8,cross-genre,LGF
amour,fr,10.705,7.7,746,2012-12-19,9700000,36787044,2012,12,cross-genre,SPC
anchorman 2: the legend continues,en,12.08,6.1,1408,2013-12-18,50000000,172185754,2013,12,comedy,Par.
and so it goes,en,8.235,5.9,264,2014-07-25,18000000,17920013,2014,7,cross-genre,CE
animal kingdom,en,10.188,6.8,399,2010-08-13,4200000,8078683,2010,8,cross-genre,SPC
anna,en,1.463,3.1,8,2014-06-06,4357373,1200000,2014,6,cross-genre,VE
anna karenina,en,9.987,6.7,1265,2012-11-16,49000000,71004627,2012,11,cross-genre,Focus
annabelle,en,13.989,5.6,3357,2014-10-03,6500000,256862920,2014,10,cross-genre,WB (NL)
annabelle: creation,en,21.245,6.5,3141,2017-08-11,15000000,305384865,2017,8,cross-genre,WB (NL)
anomalisa,en,10.285,7.1,927,2015-12-30,8000000,5706168,2015,12,cross-genre,Par.
anonymous,en,8.114,6.4,434,2011-10-28,27500000,15815509,2011,10,cross-genre,Sony
another earth,en,10.03,6.7,853,2011-07-22,175000,2102779,2011,7,cross-genre,FoxS
another happy day,en,5.473,6.1,60,2011-11-18,4000000,978527,2011,11,cross-genre,P4
another year,en,9.394,7.0,150,2010-12-29,8000000,20005613,2010,12,cross-genre,SPC
ant-man,en,32.715,7.1,11949,2015-07-17,130000000,518858449,2015,7,cross-genre,BV
ant-man and the wasp,en,44.729,7.0,6290,2018-07-06,130000000,623144660,2018,7,cross-genre,BV
apollo 18,en,8.384,5.0,486,2011-09-02,5000000,26517819,2011,9,cross-genre,W/Dim.
aquaman,en,38.102,6.8,6155,2018-12-21,160000000,1146894640,2018,12,cross-genre,WB
arbitrage,en,12.14,6.2,459,2012-09-14,12000000,35830713,2012,9,cross-genre,RAtt.
argo,en,15.793,7.2,5127,2012-10-12,44500000,227140757,2012,10,cross-genre,WB
arrival,en,25.442,7.4,10387,2016-11-11,47000000,203127894,2016,11,cross-genre,Par.
arthur christmas,en,12.981,6.7,692,2011-11-23,85000000,149717124,2011,11,cross-genre,Sony
atomic blonde,en,21.662,6.3,3645,2017-07-28,30000000,98345423,2017,7,cross-genre,Focus
attack the block,en,9.612,6.4,1144,2011-07-29,13000000,6459183,2011,7,cross-genre,SGem
august: osage county,en,9.586,6.9,843,2013-12-25,25000000,50738810,2013,12,cross-genre,Wein.
avengers: age of ultron,en,44.383,7.3,13457,2015-05-01,330600000,1403013963,2015,5,cross-genre,BV
avengers: infinity war,en,80.773,8.3,13948,2018-04-27,300000000,2048134200,2018,4,cross-genre,BV
baahubali 2: the conclusion,te,10.406,7.0,252,2017-04-28,30000000,263502914,2017,4,cross-genre,GrtIndia
baby driver,en,22.895,7.4,8034,2017-06-28,34000000,228104185,2017,6,cross-genre,TriS
bachelorette,en,7.05,5.4,755,2012-09-07,3000000,12577401,2012,9,cross-genre,RTWC
bad moms,en,14.332,6.5,2600,2016-07-29,20000000,180998716,2016,7,comedy,STX
bad teacher,en,13.549,5.5,2894,2011-06-24,19000000,215448997,2011,6,cross-genre,Sony
bad times at the el royale,en,31.32,6.8,1365,2018-10-12,32000000,29204379,2018,10,cross-genre,Fox
baggage claim,en,8.666,5.4,127,2013-09-27,8500000,22885836,2013,9,comedy,FoxS
bajrangi bhaijaan,hi,7.122,7.9,232,2015-07-17,13000000,121778347,2015,7,cross-genre,Eros
barbershop: the next cut,en,12.846,6.0,248,2016-04-15,20000000,54404202,2016,4,cross-genre,WB (NL)
batman v superman: dawn of justice,en,28.088,5.8,11991,2016-03-25,250000000,867500281,2016,3,cross-genre,WB
battle of the sexes,ru,0.6,5.5,4,2017-09-22,25000000,18445379,2017,9,cross-genre,FoxS
battle of the year,en,5.858,6.1,130,2013-09-20,20000000,16723377,2013,9,cross-genre,SGem
battleship,en,21.742,5.6,3240,2012-05-18,220000000,313477717,2012,5,cross-genre,Uni.
baywatch,en,14.429,6.1,4748,2017-05-25,60000000,175863783,2017,5,cross-genre,Par.
beastly,en,10.136,6.1,1748,2011-03-04,17000000,38028230,2011,3,cross-genre,CBS
beasts of the southern wild,en,7.53,6.9,605,2012-06-27,1800000,23265132,2012,6,cross-genre,FoxS
beautiful boy,en,5.872,6.0,47,2018-10-12,25000000,13031424,2018,10,cross-genre,Anch.
before i fall,en,14.584,7.0,2135,2017-03-03,5000000,18945682,2017,3,cross-genre,ORF
before i go to sleep,en,16.07,6.4,1098,2014-10-31,22000000,19563579,2014,10,cross-genre,CE
before midnight,en,11.765,7.4,1039,2013-05-24,3000000,23251930,2013,5,cross-genre,SPC
before we go,en,8.233,6.5,985,2015-09-04,3000000,483938,2015,9,cross-genre,RTWC
begin again,en,10.828,7.2,2089,2014-06-27,8000000,68838736,2014,6,cross-genre,Wein.
beginners,en,10.322,6.9,532,2011-06-03,3200000,14314407,2011,6,cross-genre,Focus
believe,en,1.327,5.9,12,2016-12-02,3500000,890303,2016,12,documentary,ORF
ben is back,en,17.273,6.7,254,2018-12-07,13000000,9633111,2018,12,drama,RAtt.
bernie,en,7.518,6.6,503,2012-04-27,6000000,10106975,2012,4,cross-genre,MNE
big eyes,en,12.017,7.0,2153,2014-12-25,10000000,27317872,2014,12,cross-genre,Wein.
big hero 6,en,36.92,7.8,10176,2014-11-07,165000000,652127828,2014,11,cross-genre,BV
big miracle,en,6.76,6.6,250,2012-02-03,40000000,25268680,2012,2,cross-genre,Uni.
"big mommas: like father, like son",en,16.024,5.5,623,2011-02-18,32000000,82332450,2011,2,cross-genre,Fox
bilal: a new breed of hero,en,2.707,6.8,54,2018-02-02,30000000,648599,2018,2,cross-genre,VE
biutiful,es,7.697,7.2,546,2011-01-28,35000000,24687524,2011,1,cross-genre,RAtt.
black mass,en,14.646,6.4,2020,2015-09-18,53000000,98837872,2015,9,cross-genre,WB
black nativity,en,1.779,5.7,25,2013-11-27,17500000,7285135,2013,11,cross-genre,FoxS
black or white,en,8.05,6.8,193,2015-01-30,9000000,21971021,2015,1,drama,Rela.
black panther,en,2.058,5.1,11,2018-02-16,200000000,1348258224,2018,2,cross-genre,BV
